sampleID,index,dist,timeStamp,duration,sourceID
speaker008_0000,14192544,0.044615015387535095,00:14:47.033999,1.3450625,20H-20171205
speaker008_0001,14011920,0.020890729501843452,00:14:35.745000,12.630375,20H-20171205
speaker008_0002,14011919,0.05880375951528549,00:14:35.744937,5.718375,20H-20171205
speaker008_0003,14101387,0.019834958016872406,00:14:41.336687,4.33175,20H-20171205
speaker008_0004,14168571,0.010931725613772869,00:14:45.535687,2.85975,20H-20171205
speaker008_0005,14101518,0.04530276730656624,00:14:41.344875,7.0410625,20H-20171205
speaker008_0006,5026425,0.019737765192985535,00:05:14.151562,7.8730625,20H-20180124
speaker008_0007,5106135,0.02060658670961857,00:05:19.133437,2.8810625,20H-20180124
speaker008_0008,5212777,0.007990580052137375,00:05:25.798562,3.75575,20H-20180124
speaker008_0009,5212777,0.0039943912997841835,00:05:25.798562,9.7290625,20H-20180124
speaker008_0010,5368531,0.02990632876753807,00:05:35.533187,4.4810625,20H-20180124
speaker008_0011,5368531,0.03289732336997986,00:05:35.533187,10.66775,20H-20180124
speaker008_0012,5488115,0.07863980531692505,00:05:43.007187,3.17975,20H-20180124
speaker008_0013,5538372,0.026710066944360733,00:05:46.148250,3.17975,20H-20180124
speaker008_0014,5538372,0.01596246287226677,00:05:46.148250,6.166375,20H-20180124
speaker008_0015,5586074,0.006988564971834421,00:05:49.129624,3.17975,20H-20180124
speaker008_0016,5586074,0.032145906239748,00:05:49.129624,8.3850625,20H-20180124
speaker008_0017,5722234,0.04586350545287132,00:05:57.639625,5.67575,20H-20180124
speaker008_0018,5813310,0.0019955397583544254,00:06:03.331875,7.6170625,20H-20180124
speaker008_0019,5934936,0.021685326471924782,00:06:10.933499,4.39575,20H-20180124
speaker008_0020,5961820,0.0337027981877327,00:06:12.613749,2.73175,20H-20180124
speaker008_0021,15986498,0.022675378248095512,00:16:39.156124,5.5690625,20H-20180130
speaker008_0022,15986498,0.020688125863671303,00:16:39.156124,6.69975,20H-20180130
speaker008_0023,16061782,0.017772924154996872,00:16:43.861374,2.006375,20H-20180130
speaker008_0024,16239836,0.11704840511083603,00:16:54.989749,7.702375,20H-20180130
speaker008_0025,16362135,0.08872145414352417,00:17:02.633437,4.4170625,20H-20180130
speaker008_0026,16394462,0.011967039667069912,00:17:04.653874,2.41175,20H-20180130
speaker008_0027,16394462,0.017960410565137863,00:17:04.653874,6.2730625,20H-20180130
speaker008_0028,16394462,0.009988709352910519,00:17:04.653874,8.1290625,20H-20180130
speaker008_0029,16433618,0.027597546577453613,00:17:07.101124,5.6970625,20H-20180130
speaker008_0030,16495917,0.0625956729054451,00:17:10.994812,1.7930625,20H-20180130
speaker008_0031,16495917,0.1071346178650856,00:17:10.994812,3.862375,20H-20180130
speaker008_0032,16524133,0.037276491522789,00:17:12.758312,2.09175,20H-20180130
