sampleID,index,dist,timeStamp,duration,sourceID
speaker031_0000,23954550,0.006891277618706226,00:24:57.159374,3.606375,20H-20171209
speaker031_0001,2897333,0.0946316197514534,00:03:01.083312,3.37175,20H-20171209
speaker031_0002,2948591,0.007945648394525051,00:03:04.286937,4.13975,20H-20171209
speaker031_0003,3013022,0.03747156634926796,00:03:08.313874,2.47575,20H-20171209
speaker031_0004,3113377,0.001994929276406765,00:03:14.586062,3.542375,20H-20171209
speaker031_0005,3244610,0.006980330683290958,00:03:22.788125,1.2810625,20H-20171209
speaker031_0006,3319591,0.012984861619770527,00:03:27.474437,2.902375,20H-20171209
speaker031_0007,23250230,0.01989671029150486,00:24:13.139374,5.80375,20H-20171209
speaker031_0008,23727778,0.024394704028964043,00:24:42.986124,6.05975,20H-20171209
speaker031_0009,25615478,0.03544534370303154,00:26:40.967374,1.5370625,20H-20180126
speaker031_0010,25615478,0.07584207504987717,00:26:40.967374,2.47575,20H-20180126
speaker031_0011,25735749,0.07775911688804626,00:26:48.484312,2.28375,20H-20180126
speaker031_0012,25744603,0.046313729137182236,00:26:49.037687,1.7290625,20H-20180126
speaker031_0013,25775523,0.016870759427547455,00:26:50.970187,2.134375,20H-20180126
speaker031_0014,25775523,0.0029949171002954245,00:26:50.970187,3.88375,20H-20180126
speaker031_0015,25841456,0.04069871827960014,00:26:55.090999,5.22775,20H-20180126
speaker031_0016,25898947,0.11106827855110168,00:26:58.684187,1.64375,20H-20180126
speaker031_0017,26181585,0.02382662333548069,00:27:16.349062,3.17975,20H-20180126
speaker031_0018,26234817,0.025900626555085182,00:27:19.676062,2.8170625,20H-20180126
speaker031_0019,26314665,0.025466052815318108,00:27:24.666562,1.750375,20H-20180126
speaker031_0020,26343895,0.07455349713563919,00:27:26.493437,4.4810625,20H-20180126
speaker031_0021,26415311,0.034660547971725464,00:27:30.956937,3.94775,20H-20180126
speaker031_0022,26436761,0.05054597556591034,00:27:32.297562,2.60375,20H-20180126
speaker031_0023,26436761,0.01899319514632225,00:27:32.297562,5.398375,20H-20180126
speaker031_0024,26479611,0.01992747187614441,00:27:34.975687,2.73175,20H-20180126
speaker031_0025,26479611,0.07373636960983276,00:27:34.975687,7.72375,20H-20180126
