sampleID,index,dist,timeStamp,duration,sourceID
speaker011_0000,20698072,0.06366205960512161,00:21:33.629500,5.078375,20H-20180112
speaker011_0001,24475339,0.037567783147096634,00:25:29.708687,9.38775,20H-20171205
speaker011_0002,30416839,0.03253624960780144,00:31:41.052437,7.830375,20H-20171204
speaker011_0003,20399868,0.02772924304008484,00:21:14.991749,2.66775,20H-20180112
speaker011_0004,30940001,0.03543665632605553,00:32:13.750062,5.3770625,20H-20171204
speaker011_0005,31185219,0.01493852213025093,00:32:29.076187,1.00375,20H-20171204
speaker011_0006,24660089,0.04050509259104729,00:25:41.255562,3.542375,20H-20171205
speaker011_0007,24761780,0.02860327996313572,00:25:47.611249,4.4810625,20H-20171205
speaker011_0008,24914056,0.17766055464744568,00:25:57.128500,5.29175,20H-20171205
speaker011_0009,25139551,0.029980134218931198,00:26:11.221937,5.3130625,20H-20171205
speaker011_0010,20167984,0.09903158992528915,00:21:00.499000,5.09975,20H-20180112
speaker011_0011,20246235,0.05926373600959778,00:21:05.389687,6.37975,20H-20180112
speaker011_0012,20698072,0.011989853344857693,00:21:33.629500,1.5370625,20H-20180112
speaker011_0013,20523710,0.0089896684512496,00:21:22.731874,10.8810625,20H-20180112
speaker011_0014,20649582,0.029767680913209915,00:21:30.598874,3.030375,20H-20180112
speaker011_0015,20369701,0.0089917266741395,00:21:13.106312,1.77175,20H-20180112
speaker011_0016,30667840,0.0316031277179718,00:31:56.740000,2.02775,20H-20171204
speaker011_0017,24475339,0.035671379417181015,00:25:29.708687,2.518375,20H-20171205
speaker011_0018,24475339,0.13063684105873108,00:25:29.708687,7.59575,20H-20171205
speaker011_0019,24515413,0.06777911633253098,00:25:32.213312,5.09975,20H-20171205
speaker011_0020,24553466,0.026824578642845154,00:25:34.591625,2.6890625,20H-20171205
speaker011_0021,24594606,0.081660196185112,00:25:37.162874,1.942375,20H-20171205
speaker011_0022,30416839,0.08107653260231018,00:31:41.052437,2.902375,20H-20171204
speaker011_0023,30416839,0.04508725926280022,00:31:41.052437,4.39575,20H-20171204
speaker011_0024,30462625,0.023747066035866737,00:31:43.914062,1.558375,20H-20171204
speaker011_0025,30485098,0.07766260951757431,00:31:45.318625,3.5850625,20H-20171204
speaker011_0026,30463670,0.009961996227502823,00:31:43.979374,4.90775,20H-20171204
speaker011_0027,30667840,0.08486402034759521,00:31:56.740000,1.06775,20H-20171204
speaker011_0028,30683972,0.030710576102137566,00:31:57.748250,1.046375,20H-20171204
speaker011_0029,30698055,0.014886477030813694,00:31:58.628437,0.982375,20H-20171204
speaker011_0030,30698055,0.050681497901678085,00:31:58.628437,2.2410625,20H-20171204
speaker011_0031,20399868,0.007977461442351341,00:21:14.991749,5.16375,20H-20180112
speaker011_0032,30734488,0.014723177999258041,00:32:00.905500,1.494375,20H-20171204
speaker011_0033,20442124,0.04554656893014908,00:21:17.632749,2.518375,20H-20180112
speaker011_0034,20523710,0.10972344130277634,00:21:22.731874,4.118375,20H-20180112
speaker011_0035,20369701,0.004993588197976351,00:21:13.106312,4.502375,20H-20180112
speaker011_0036,20369701,0.011951414868235588,00:21:13.106312,6.998375,20H-20180112
speaker011_0037,30886895,0.011971118859946728,00:32:10.430937,1.00375,20H-20171204
speaker011_0038,30886895,0.06826231628656387,00:32:10.430937,3.4570625,20H-20171204
speaker011_0039,30827731,0.07876645028591156,00:32:06.733187,7.1690625,20H-20171204
